description,year
"Several special laws, which were enacted by the State from time to time keeping in view the security aspect and to check movement of anti-national elements and their agents, will continue to remain in force in the Union Territory (UT) of Jammu and Kashmir and Union Territory (UT) of Ladakh, reports Daily Excelsior on August 11. These laws have not been touched by the Union Ministry of Home Affairs (UMHA) in the Jammu and Kashmir Reorganization Act, 2019 whereby more than 100 Central Laws will get extended to the Union Territory of Jammu and Kashmir and Union Territory of Ladakh. This has been decided as these special laws will continue to play crucial role in ensuring proper law and order and internal security in both the Union Territories keeping in view hostile behaviour of neighbouring countries—Pakistan and China and presence of terrorists and their agents in the hinterland.",2019
"Suspected Communist Party of India-Maoist (CPI-Maoist) cadres set ablaze three vehicles belonging to a country liquor factory owner protesting the sale of liquor in Pottangi Tehsil (revenue unit) in Koraput District of Odisha on August 10, reports The New Indian Express. Sources said around 20 Maoists entered the premises of the liquor factory and asked seven of its employees to remain indoors. They then set ablaze one jeep, two motorcycles and one generator kept on the premises. The Maoists warned the employees to shut down the factory before escaping from the spot. They put up a banner at the gate of the factory threatening the owner of dire consequences if he continues selling liquor in the area. Later, the employees and the owner informed the Police about the incident.",2019
"The Communist party of India-Maoist (CPI-Maoist) cadre killed in Hazaribagh encounter on August 10, was identified as one of Pradyuman Sharmas key associates, Laldas Mochi alias Mukesh Ravidas, a resident of Bhagwanpur in Patna District of Bihar, reports The Times of India on August 11. Police claimed that CPI-Maoist Magadh zone commander Pradyuman was believed to have been injured in the encounter. Pradyuman carries a reward of INR 50,000 on his head. His name figures in at least 51 Maoist-related cases lodged with different Police Stations in Bihar and Jharkhand. In March 2018, the Enforcement Directorate (ED) had attached Pradyumans property worth INR 6.8 million.",
"Earlier, South Asia Terrorism Portal (SATP) reported, a CPI-Maoist cadre was killed in an encounter near Bihar border under Chouparan Police Station limits in Hazaribagh District of Jharkhand on August 10.",2019
"Two cadres of Hmar People Convention (Democratic) (HQ Faction) HPC (D) was arrested on August 10 in the remote areas of Parbung and Lungthullen of Manipurs Pherzawl District, tweets Eastern Command. The self-styled sergeants cadres identified as Thangrosung Mengha and Lal Sanga Hmar was involved in tax collection and several nefarious activities in the area of Pherzawl and Tipaimukh. According to Sangai Express, a large quantity of war like stores to include explosives, uniforms and important documents was recovered from the arrestees.",2019
"Two unidentified United Liberation Front of Asom-Independent (ULFA-I) militants were arrested on August 10 from Charaideo District in Assam, tweets Eastern Army Command. A pistol and a magazine were recovered from the arrestees.",2019
"Yung Aung-led National Socialist Council of Nagaland –Khaplang (NSCN-K) has appealed to National League for Democracy (NLD)-ruled Government in Myanmar to follow the policies of Union Solidarity and Development Party (USDP) Government and stop military operations against it, reports Nagaland Post on August 11. In a press statement, Niki Sumi, a lieutenant general of NSCN (K) has accused the Government of Myanmar of trying to suppress Naga struggle.",2019
"According to an official statement on August 11, Punjab Chief Minister (CM) Amarinder Singh expressed concern over reports of slowdown in activities of discernible showdown by Pakistan to develop Kartarpur corridor, reports New Indian Express. The CM urged Pakistan not to back out of their commitment. The CM also urged Prime Minister Narendra Modi to announce a special economic package for the development of the border states of Punjab and Jammu and Kashmir to create better job opportunities.",
"Additionally, according to Government officials, Pakistans enthusiasm over Kartarpur corridor will depend on the unfolding situation in Kashmir once the restrictions are relaxed, reports The Tribune on August 11. While not commenting on reports that Pakistan had slowed down work on the corridor, they referred to influential voices in its establishment, such as those of former Foreign Secretary Abdul Basit, calling for work to be suspended in light of Indias Jammu and Kashmir moves. The Indian establishment has viewed the Kartarpur Corridor with a tinge of suspicion. There have been recurring concerns after the seizures of explosives and arms in Punjab and Haryana that Pakistan is attempting to destabilise Jammu and Kashmir and Punjab.",2019
"In a bid to spread its drugs empire, Dawood Ibrahim's D-Company is learnt to have entered into a partnership with Afghan drug lord Haji Lal Jan Ishaqzai, Zee News reports on August 12. According to Indian intelligence agencies, D-Company has already established ground networks in Sudan, Ethiopia, Kenya, Tanzania, Zimbabwe, Namibia and Ghana from where it hopes to carry out operations.",
"With the increasing threat from drug traffickers, Indian security agencies have been working overtime to blunt the massive threat posed. D-Company, looking at generating capital through illegal - but lucrative - heroin trade, has taken the help of Ishaqzai to execute their nefarious plans of pumping narcotics in India and elsewhere.",
Indian intelligence agencies suspect that Dawood may have contacted Pakistan's Inter-State Services (ISI) to extend cover to Ishaqzai in return for his support in D-Company's drugs trade. Ishaqzai has contacts in Asia and Europe and it is this that may have already been exploited by D-Company. It is through this that D-Company may have also smuggled drugs into India via the Afghan-Pakistan route. It is suspected that drugs are hidden among or inside fruits which are then either smuggled into India via the Wagah-Attari border or through jute bags which are brought in via the sea route and into Gujarat and Mumbai.,2019
"In the view of the upcoming Independence Day celebrations, security has been strengthened in Upper Assam, reports Northeast Now, August 12. In Tinsukia District, Police and CRPF are conducting round the clock naka checking in the town and on national highway 37. Similarly, in Dibrugarh police and CRPF are carrying out night patrolling to prevent any subversive activities especially from United Liberation Front Army – Independent (ULFA-I).",2019
"On the evening of August 11, two suspected miscreants of underground outfits shot a non-local at the connecting road between Kangjabi and Thingel, Nagamapal under Lamphel Police Station (PS) in Imphal West District of Manipur, reports Imphal Free Press. The injured victim identified as Jagabundhu Malik who originally hails from Jajpur District, Orissa was shot when he was returning from the market with his uncle, states Sangai Express. Malik is currently recuperating in RIMS hospital.",2019
"Restrictions in five sensitive Districts of Jammu region were further eased on August 11 ahead of Eid festival, during which situation remained peaceful even though mobile internet services in entire region remained snapped for seventh consecutive day today while telephone calling facilities were still affected in some of the Districts, reports Daily Excelsior. Day restrictions were lifted in Kishtwar District from 8 am today (August 11) but they will continue during the night as a precautionary measure. Reports said that authorities relaxed restrictions in Doda, Ramban, Kishtwar, Rajouri and Poonch Districts during the day in phased manner to facilitate people buy essential commodities and shopping for Eid festival tomorrow (August 12). Relaxations were peaceful at all the places. However, security personnel will remain deployed in strength to ensure peace during the relaxation period.",
"Meanwhile, mobile internet services remained shut in entire Jammu region for seventh consecutive day on August 11, reports Daily Excelsior. In five sensitive districts of the region including Doda, Kishtwar, Ramban, Rajouri and Poonch, telephone calling services have also been affected.",2019
"Seven CPI-Maoist cadres, three of them carrying cash reward on their heads, surrendered themselves before Senior Police Official Shalabh Sinha in Sukma District of Chhattisgarh on August 11, reports The Pioneer. The surrendered cadres included a woman and a minor boy. Of the surrendered Maoists, Sodi Joga (22) was a member of military platoon no. 23 and the most dreaded one, carrying a reward of Rs 2 lakh (INR 200,000) on his head. Two other cadres - Sodi Erre (23), head of Kisan Adivasi Mahila Sangathan (KAMS, a frontal wing of Maoists) and Podiyam Nanda (22), commander of militia platoon section 'A', were carrying a reward of Rs 1 lakh (INR 100,000) each – said the Police Official. Four others, including a minor, were working under various Maoist wings. Further, based on a tip-off provided by Podiyam Nanda, 19 gelatine rods weighing around 30 kilograms were recovered by the para-military troopers from Konta Police Station area in the district. The surrendered Maoists said that they were disappointed with the hollow Maoist ideology and hardships of the jungle, Sinha added.",2019
"Seven other militant groups have also called for boycott of Independence Day, reports Imphal Free Press on August 12. The groups are Hynniewtrep National Liberation Council (HNLC), Kangleipak Communist Party (KCP), Kamtapur Liberation Organisation (KLO), Kanglei Yawol Kanna Lup (KYKL), National Democratic Front of Bodoland-Saoraigwra (NDFB-S), National Liberation Front of Tripura (NLFT) and Peoples Democratic Council of Karbi Longri (PDCK).",2019
"The National Investigation Agency (NIA) arrested a militant of the Jamaat-ul-Mujahideen Bangladesh (JMB), identified as Jahirul Sheikh, on August 11 from Indore, Madhya Pradesh in connection with the 2014 Burdwan blast case, reports News 18. Two persons were killed and another was injured in a bomb explosion at a house in the Khagragarh locality of Burdwan on October 2, 2014.",2019
"Two Kuki militant groups the Kuki National Front-Nehlun (KNF-N) and Socialist Democratic Front of Kukiland (SDKF) have called for a boycott of Independence Day celebrations in Manipur on August 15, reports Imphal Free Press on August 12. SDKF was formed on March 1, 2018 formed with the aim of formation of a Kukiland.",2019
"Union Home Minister (UHM) Amit Shah on August 11 said that abrogation of Article 370 of the Constitution which granted special status to Jammu and Kashmir will end terrorism and the State will lead to path of development but maintained that it should have been abrogated much earlier, reports Daily Excelsior. I have no doubts that Article 370 should have been removed. After abrogation of the Article, terrorism will end in Kashmir and the State will march to the path of development. Removal of Article 370 will be beneficial for the country as well as the State of Jammu and Kashmir, Amit Shah said.",
"Meanwhile, the Vice President of India, Venkaiah Naidu also backed the scrapping of special status under Article 370 to Jammu and Kashmir, saying it was in the interest of the nation and should not be treated as a political issue. It was the need of the hour and people of the country should stand with their counterparts in Jammu and Kashmir, he said.",2019
"United Liberation Front Army – Independent (ULFA-I) has called general strike on August 15 from 1:30 am to 6:30 pm in United National Liberation Front of Western South East Asia (WESEA) region apart from boycotting 73rd Indian Independence Day celebrations, reports Sangai Express.",2019
"According to Government data, more than 140 incidents of stone pelting were reported, in which 40 Security Force (SF) personnel were injured, in the Kashmir Valley during the past one week, reports The Hindu on August 13. The Valley has been under lockdown since August 5 after Union Home Minister (UHM) Amit Shah moved two Bills in the Rajya Sabha (Upper House of Parliament) to annul Article 370 and downgrade and bifurcate the State of Jammu and Kashmir into two Union Territories (UTs). The most incidents of stone pelting (45) were reported on August 6, a day after the legislation was cleared by the Rajya Sabha. As many as 21 Central Armed Police Force personnel received injuries the same day.",2019
"A group of Communist party of India-Maoist (CPI-Maoist) cadres set a bus on fire after asking the passengers to alight near Kokri area in Chhattisgarh on August 12, reports Pragativadi. According to sources, the private bus carrying passengers was en route Kondagaon from Narayanpur when some rebels intercepted it near Kokri. The Maoists then asked the passengers to get down from the bus. Subsequently, the Maoists set ablaze the vehicle and fled from the spot. While all the passengers are reportedly safe, the bus was reduced to ashes, sources added.",2019
"A man was arrested for possessing Fake Indian Currency Notes (FICNs) worth INR 283,000 on August 12 near RTO office in Thane (Thane District) in Maharashtra, reports Times of India. Police found 566 FICNs in denomination of scrapped INR 500.",2019
"A member of Dawood Ibrahims gang (D-Company), Mohammad Altaaf Saeed, was arrested on August 12 from Kannur International Airport, in Kannur District of Kerala, reports Times of India.",2019
"A team of Special Task Force (STF) arrested two cadres of the Communist Party of India-Maoist (CPI-Maoist), including its self-proclaimed commander and a woman cadre from Abhuchak village under Saraiya Police Station in Muzaffarpur District of Bihar late on August 12 night, reports The Times of India. The arrested Maoists have been identified as Anil Baitha, resident of Gopalpur village in Vaishali District and Ragini of Fatehpur village under Kanti Police Station in Muzaffarpur District.Additional Superintendent of Police (ASP), Vimlesh chandra Jha said, The duo were wanted in more than six cases. Baithas name has figured recently in a case pertaining to demand of levy from two construction companies engaged in laying new railway tracks on newly-created section between Hajipur and Sugauli under East Central Railways. Two separate FIR have been lodged with Saraiya police station in January and March this year against Baitha and his associates.",2019
"Arunachal Times on August 12 reports that Police and Assam Rifles (AR) destroyed three camps of National Socialist Council of Nagaland-Reformation (NSCN-R) located at New Jukhi, Old Kamlao and Kovin Honkap in Changlang District of Arunachal Pradesh. Changlang Superintendent of Police (SP) Romil Baaniya stated that the camps were created in the last two years. He also added that 33 militants of various affiliations have been arrested in Changlang District in the previous six months.",2019
"Communist party of India-Maoist (CPI-Maoist) cadres detonated Improvised Explosive Devices (IED) and opened fire on a joint team of District Police, District Reserve Guard (DRG), Chhattisgarh Armed Force (CAF) and Indo-Tibetan Border Police (ITBP) when they were conducting search operation based on intelligence input in Narayanpur District of Chhattisgarh on August 12, reports ANI. No Security Force (SF) personnel were injured in the incident, Police said. Narayanpur, Superintendent of Police (SP), Mohit Garg said, ""Today morning around 11 am, joint teams of district police, DRG, CAF and ITBP were out for Area Search and Domination exercise based on the inputs of suspected movement of a small team of Naxalites [Left Wing Extremists, LWEs] near Jhori village and their plan to carry out a big attack before Independence Day,"" Garg said, adding, ""When the parties cordoned the area they found that Maoists had blocked the road with fallen trees and posted banner on them. The Maoist small action team had laid an ambush with multiple command IEDs for the SFs and civilians who would cross the road. But the SFs followed tactical movements and cordoned the area seeing which Naxalites blasted the IEDs and started firing on the forces. After a brief firing for 10 minutes they ran into jungles and hillocks,"" he said. However, there was no reports of casualties among the SFs.",2019
"Director general of police (DGP) L.M. Khaute in an order has instructed Police officials to constitute Anti-Illegal Migrants Special Unit for prevention/detection/prosecution of illegal migrants who often infiltrate into Manipur, reports Imphal Free Press on August 13. The order informed that illegal migrants used different routes such as Imphal Airport, along NH-2 at Mao and Moreh, along NH-150 through Jessami and Mizoram border, Tiddim road through Behiang. Apart from carrying out routine checking on daily basis, the unit will be responsible for carrying out special drives at vulnerable/ suspected pockets/ places/ towns for detection of illegal migrants.",2019
"Even as vigil along Odisha coast has been intensified by the Indian Coast Guard, Navy and Police following intelligence inputs of possible entry of anti-nationals following the scrapping of Article 370, coastal security in Jagatsinghpur District are in shambles, New Indian Express reports on August 13. Coastal security system has been affected by shortage of manpower, interceptor boats, infrastructure, arms and ammunition, electronic gadgets and adequate training to marine police personnel. The District has three marine Police Stations and none are well-equipped to effectively ensure security of the coastline.",
"Jagatsinghpur SP in-charge Biswanath Mishra said despite staff crunch and shortage of boats in the marine police stations, security has been tightened along the coast to thwart possible influx of illegal immigrants through sea. The marine police are on high alert and patrolling has been beefed up in coordination with the Coast Guard and CISF to keep a vigil on suspicious movement of vessels, he said.",
"A three-tier patrolling system has been put in place to secure the coast of Odisha. While the Indian Navy patrols the high seas and carries out aerial reconnaissance with vessel-based aircraft, the intermediate layer comprising the Exclusive Economic Zone (between 12 and 200 nautical miles) is taken care of the Coast Guard. The territorial waters are patrolled by joint patrolling teams comprising personnel drawn from the Customs and State Marine Police.",2019
"Kangleipak Communist Party (KCP) former chief advisor Baji Samjai Luwangcha will now hold the post of acting chairman in place of former chairman Ibungo Ngangom, reports Imphal Free Press on August 13.",2019
"Mizo Students Union (MSU), the second largest students body in Mizoram, has asked residents of Tuichawngchhuah, an unauthorised village in Lunglei District in Mizoram to vacate within a month, reports East Mojo on August 13. A leader of MSU stated that villagers were already served eviction order by the state government. Tuichawngchhuah is a village predominantly inhabited by Chakma community.",2019
"Northern Army Commander Lieutenant General Ranbir Singh visited the Kashmir valley to review the prevailing security situation in the region on August 12, reports Daily Excelsior. He visited formations in North and South Kashmir and was briefed about the current situation as also the recent counter terrorist operations. He complimented the troops for the humanitarian assistance being provided to the locals and appreciated the actions taken by the units and formations in ensuring safety and wellbeing of the people.",2019
"On August 12 former Member of Legislative Assembly (MLA), Virsa Singh Valtoha had to face ire from the locals during his address on the death anniversary of Sukhdev Singh Babbar of the Babbar Khalsa International (BKI) at Dasuwal in Tarn Taran District in Punjab, reports The Tribune. Valtoha talked about his association with BKI. When he spoke on opening an old murder case of Patti-based surgeon Dr Sudarshan Trehan, who was shot on November 15, 1984, the organisers switched off the public address system and Valtoha was made to sit.",2019
"On August 12, Police neutralised a drug trade racket run by two women in Rajgarh village in Ludhiana District, reports The Times of India. The Police seized 850-gram heroin worth over INR 1.5 crore and INR 5,00,000 drug money. The accused, identified as Manjit Kaur alias Bitto and Amarjeet Kaur alias Kalo had become major players in the drug trade.",2019
"Police arrested a drug supplier, identified as Suresh Chandra Saxena from Nanakmatta in Udham Singh Nagar District and recovered over 200 grams of heroin worth INR 20,00,000 and INR 4,00,000 cash from him, The Times of India reports on August 13.",
"According to the Police, Suresh Chandra, a resident of Uttar Pradeshs Bareilly, is the kingpin of drug-peddlers. Divulging details, Senior Superintendent of Police (SSP), Barinderjit Singh said, Saxena was the main person behind the contraband supply. Police were on alert, and acting on a tip-off a team led by circle office of Khatima police Mahesh Chandra Binjola apprehended Saxena from Sisayikhera market when he was about to deliver a consignment.",2019
"Prime Minister (PM) Narendra Modi on August 12 said that post-abrogation of Article 370 of the Constitution of India, leading entrepreneurs have already expressed their interest in investing in Jammu and Kashmir and voiced confidence that open minds and open markets will ensure that youth will take the State on the path of greater progress, reports Daily Excelsior. Reacting to scrapping of Articles 370 and 35A, Modi made it clear that the Government decision on (abrogation of) Article 370 was purely a domestic one and hoped that it will benefit the people of Jammu and Kashmir.",2019
"Radical Sikh organisation Dal Khalsa, United Akali Dal and Shiromani Akali Dal (SAD) have decided to observe August 15 as Black Day, reports New Indian Express. Kanwar Pal Singh of Dal Khalsa said that they will stage protests on Independence Day against the atrocities, political subjugation and denial of rights to Sikhs in the last seven decades. He also alleged that due to increased hostilities between Indo-Pakistan in the wake of government's abrogating article 370, the Kartarpur corridor is likely to become causality.",2019
"Security agencies have foiled major terror attacks in three cities, which was being planned on the messaging app, Telegram, India Today reports on August 13. A youth was picked up from Delhi, who was part of the conversation. ""We got vital information about terrorists trying to enter India, who were posing as Afghanistan students. Preventive measures were taken by roping in other agencies and the planning was foiled,"" said a source.",
"According to the officials, Islamic State (IS) terrorists along with their sympathisers in Afghanistan and India were planning to carry out terror activities across India, for which they have been provoking Muslim youths through different Telegram groups. Agencies have tracked as many as five such Telegram groups on which the terrorist were carrying out their planning.",
"After a detailed investigation, it was revealed that IS had made 'Operation Green Birds' where they wanted to attack three cities ahead of the Independence Day. ""They want to create unrest in the country. We have busted five groups on which planning was being hatched for bomb blasts in India. These groups have been flooded with hate messages against India,"" said a source in the central agency.",
"The officer added that they intercepted the messages that attacks were planned on August 13 at a railway station in South Delhi, or to plant a bomb inside a train that would start from Nizamuddin Railway Station. To carry out these attacks, the youths were being trained to make bombs with the help of IED and train to trigger it through a cell phone. ""As per their planning, B-1 Coach of Rajdhani Express was on their hit target. But our timely action has foiled their plan,"" the source added.",2019
"Security personnel have arrested eight illegal migrants and kept them in custody at Moreh in Tengnoupal District of Manipur, the border town along the Indo-Myanmar border, reports The Assam Tribune. Confirming the arrest, a Police officer said, the arrests were made on August 12 night. The arrested persons have been remanded in judicial custody for nine days, he said. On August 10, a team of State Police had rounded up six suspected Rohingya men from the Imphal International Airport on their arrival from New Delhi. Manipur Director General of Police (DGP), LM Khaute has directed all Superintendent of Police (SP)s to constitute an anti-illegal migrants special unit for prevention, detection and prosecution of illegal migrants who often infiltrate into the State. The identity of the arrested persons are yet to be established.",2019
"Situation all across the Jammu region remained peaceful on August 12 with people offering Eid prayers including in five sensitive districts of Kishtwar, Doda, Ramban, Rajouri and Poonch where restrictions were relaxed during the day for festivities and prayers, reports Daily Excelsior. Divisional Commissioner Jammu, Sanjeev Verma said, Eid prayers and festivities all across the Jammu region passed off peacefully during the day. Restrictions in five districts were lifted to facilitate people celebrate the festival and offer prayers. No untoward incident has been reported from any part of the province. However, he said, prohibitory orders in five districts will remain in force for the night. At couple of places, youth took out processions after the prayers. However, the processions concluded peacefully.",2019
"Six suspected Rohingyas were arrested from Indo-Myanmar border town in Moreh in Tengnoupal District on August 12, reports The Sangai Express. The arrestees were identified as Mohammed Zaid, Aung Myo Htut alias Mohammed Arafat, Arkar Naing alias Musaffar, Zin Ko Leuin alias Abdul Qadim, Nay Thu Rain Tun alias Md Nayar, Aung Chaye alias Sheikh Ahamed, Tinmyint alias Zubair and Aung Tun. While three of them were arrested while crossing into Myanmar rest were arrested from a hotel in Moreh.",2019
"The Thane Crime Branch has arrested a person identified as Kaluram Indavale, for possessing 566 Fake Indian Currency notes (FICN) of INR 500 denomination, worth INR 2.83 lakh on August 12 from Thane in Maharashtra, reports The Hindu. With the information he provided, a counterfeit currency note racket was busted from Igatpuri in Shahpur on August 15.",2019
"Two cadres of the Communist party of India-Maoist (CPI-Maoist) surrendered before the Police along with weapons at the State Police headquarters in Patna District of Bihar on August 12, reports The Times of India. The Maoists, identified as Amarnath Sahni (45), a self-proclaimed zonal commander, and Rakesh Sahni (40) of Jandaha block in Vaishali District, were wanted in more than a dozen cases of insurgency-related crimes including the killing of two farmers, Ramesh Jha and Ranjit Kumar Singh, in 2018. Additional Director General of Police (ADGP), Jitendra Kumar said, Amarnath Sahni has been accused of 14 cases whereas his associate Rakesh Kumar is named in six Maoist related crimes in the State. ""They surrendered before the police headquarters with one carbine machine gun, two pistols and a large number of cartridges and one country made one round pistol,"" ADGP, Kumar added.",2019
"88 militants of National Liberation Front of Tripura- Sabir Kumar Debbarma (NLFT-SD) surrendered in Agartala in West Tripura District in Tripura on August 13, reports East Mojo. Kajal Debbarma, information secretary of NLFT, said, ""We were in Bangladesh. More 20 people are left, they are not interested and decided that they will not surrender. I hope they will come soon."" In a press release, by Union Ministry of Home Affairs (UMHA) had stated that  NLFT-SD has agreed to abjure the path of violence, join the mainstream and abide by the Constitution of India. It has agreed to the surrender its 88 cadres with their weapons. The surrendered cadres will be given surrender benefits as per the surrender-cum-rehabilitation scheme.",
NLFT-SD The insurgents were holed up at Khagrachari in Bangladesh where some of the key men had settled adds Indian Express. NLFT- Biswamohan (NLFT-BM) was the only active insurgent outfit in Tripura till it suffered a split at the hands of Sabir Debbarma.,2019
"A Company Operating Base of Assam Rifles (AR) was fired upon by unidentified militants at Tobu Sub Division in Mon District of Nagaland on August 13, reports Morung Express. There was no reports of casualties.",2019
"A militant of recently formed Dimasa National Liberation Army (DNLA) was arrested on August 13 from Kherbari village in Dhubri District of Assam, reports Nagaland Post. The arrestee was identified as corporal Betsing Jidung alias Master alias John Dimasa Jidung. One 9mm pistol, one magazine, and three rounds were recovered from the arrestee. He was also the training instructor of DNLA. He was also involved in extortion and in arms deals with National Socialist Council of Nagaland-Isak Muivah (NSCN-IM).",2019
"A terror alert has been issued by Intelligence Bureau (IB) to Gujarat Police about terrorist intrusion via Indo-Pak border at Kutch, reports India.com on August 14. Marine and border police have also been deployed on these border areas.",2019
"Army chief General Bipin Rawat on August 13 said that the Army wants same bonhomie with people of Kashmir, which existed in 1970s and 1980s when they used to meet the local population without guns even as he declared that the Indian troops are ready to meet any kind of security challenge in the region, reports Daily Excelsior. In 1970s and 1980, we were deployed there (in Kashmir) and we used to meet without guns. If everything goes well, we will again meet without guns, General Rawat said. He also said Pakistan deploying additional military resources along the Line of Control (LoC) in Jammu and Kashmir over the last few days is normal and not a matter of concern, asserting that Indian troops are prepared to deal with any security challenge in the region.",2019
"Assam Police commandos had launched a counter terrorist operation against ULFA-I, in Tinsukia District in Assam, along Assam-Arunachal Pradesh boder, reported The Sentinel on August 14. The Commando was led by Additional Superintendent of Police (ASP) Prithiviraj Rajkhowa. Police commando teams were seen carrying out an operation drive in Tengapani, Bogoribari under Sadia sub-division in Tinsukia District in Assam.",2019
"Assam Police on August 13 stated that they arrested six United Liberation Front of Asom-Independent (ULFA-I) sympathizers from an unspecified location in Dhemaji District in Assam, reports Asian Age. They were planning to make a video of burning national flag and hoisting the ULFA-I flag in Dhemaji District. The ULFA-I sympathizers, according to Security officials planned to upload the videos on social networking sites to whip up anti-India sentiments. Indicating that some new recruits and sympathisers of ULFA-I have been assigned the task of using the cyber space extensively to propagate anti-India sentiment, security sources said that they have recovered some videos shot by six youths.",2019
"Assam Rifles (AR) arrested four Coordination Committee (CorCom) militants from Tirap District in Arunachal Pradesh, reports Nagaland Post on August 14. The operation was conducted based on specific intelligence on the movement of militants across the Indian-Myanmar border into Tirap District.",2019
"Government of India (GoI) on August 13 assured a four-member delegation of the Eastern Nagaland Peoples Organization (ENPO) that it would hold a political level talks with them, reports Nagaland Post. According to ENPO, assurance was made at the August 13 meeting in New Delhi after the Centre extended a formal invitation to ENPO on the issue of demand for a separate state (Frontier Nagaland).",2019
Imphal Free Press reports on August 13 that a People Liberation Army (PLA) militant was arrested from Chenmoho village in Mon District in Nagaland. The arrestee was identified as Narendra Loithongbam.,2019
"Imphal Free Press reports on August 13 that five National Socialist Council of Nagaland-Kitovi Neopak (NSCN-KN) militants were arrested from Ahthibung in Peren District in Nagaland. The arrestees were identified as lieutenant colonel Vitoye Sumi, major Hekaho Zhimo, lieutenant Paojangam Singon, sergeant Lamkhup Singson and corporal Vikuto Chopy.",2019
"Intelligence inputs suggest that in the wake of abrogation of Article 370, Pakistan has directed terrorist organisations to keep a low profile for now and confine themselves to inciting violence through civil unrest without taking direct part in protests, reports Daily Pioneer on August 14. According to sources, with international power and media keeping close tabs on development in Kashmir and Indian Security Forces (SFs) on high alert, Pakistan cant take the risk of being caught red handed while sending jihadi elements into the Valley. Apart from strategizing unrest, the Pakistani establishment has also asked its rogue elements to go for snatching weapons from vulnerable posts and patrol teams and make local youths accountable for such incidents. The local terrorist cadre have been instructed to use phones only after Internet is restored to avoid detection. Sources in the security establishment said that latest intelligence reports indicate Pakistan has directed terrorist organisations to incite passions leading to massive protests.",2019
"Multiple Communist party of India-Maoist (CPI-Maoist) posters were found on the premises of Nilgiri College in Balasore District of Odisha on August 13, reports Odisha Sun Times. Two of the posters, bearing the name of CPI-Maoist Students Wing, demanded the college authorities against holding the students union elections. Also, the teachers were warned to stay away from politics and instead create an academic environment on the campus. The whole incident created a panic among the students and the teachers of the College. On being informed, Nilgiri Police reached the spot, seized the posters and started a probe in the matter.",2019
"Supreme Court on August 13 rejected a plea to reopen the exercise to update the National Register of Citizens (NRC) for Assam and directed that to ensure security of the data, reports Indian Express. It also directed that to ensure security of the data, an appropriate regime be enacted.",2019
"The first deployment of the Railways commando unit Commandos for Railway Safety (CORAS) will be in the Naxal [Left Wing Extremism, LWE]-hit areas of Chhattisgarh, reports The Hindu on August 14. Railway Protection Force (RPF) Director General (DG), Arun Kumar said a new state-of-the-art facility will be built in Jagadhari city in Haryana to train the CORAS commandos. Railway Minister Piyush Goyal said he had approved the setting up of the institute and instructed the RPF to provide them with training of international standards. CORAS first deployment will be in Naxal-hit Chhattisgarh. They will also be deployed in areas where railway has major ongoing projects which need security like northeastern States and Jammu and Kashmir, the DG of the RPF said. The unit is being envisaged as a responder for any situation pertaining to damage, disturbance, disruption of train operations, attack/hostage/hijack, disaster situations in railway areas, the DG added. Comprising RPF and Railway Protection Special Force (RPSF) personnel, the CORAS is headed by the RPF, DG, and is armed with special uniforms with bullet-proof jackets, helmets and sophisticated weapons, DG, Kumar said. He further said there are 14 battalions of the RPSF and one of its battalion had been converted into CORAS. The personnel of CORAS have been trained in the NSG academy and Greyhounds, he said.",2019
"The Government on August 13 said that the restrictions are being eased out in a phased manner in the Kashmir Valley and normalcy in the Jammu division has been restored, reports Daily Excelsior. Government spokesperson Rohit Kansal said in Srinagar that We saw disturbances in the state in 2008 & 2016 too. There were 37 deaths in 1st week of 2016, but in last one week there hasnt been a single casualty. By imposing reasonable restrictions at least weve been able to save human lives. The spokesperson informed that the restrictions are being eased out after a local assessment by relevant local authorities of different areas and localities of the Kashmir division in a phased manner.",2019
"The Indian Coast Guard (ICG) has sounded a high alert for Mumbai, Maharashtra, ahead of Independence Day (August 15) and urged the city police to illuminate its eastern and western coasts to intercept any suspicious movements, reports Indian Express on August 14. Following the ICGs alert, Rashmi Karandikar, Deputy Commissioner of Police (DCP), Port Zone, has instructed police stations with coastal jurisdictions to place armed policemen on night patrols and identify sensitive spots.",2019
"A Delhi court, on August 14, extended till August 21 the National Investigation Agency (NIA) custody of former Independent Member of Legislative Assembly (MLA) in Jammu and Kashmir (J&K), Sheikh Abdul Rashid, popularly known as Rashid Engineer, arrested in a case related to funding of terror activities in the Valley, reports Daily Excelsior. Rashid, who was a legislator from the Langate Assembly seat in North Kashmir, is the first mainstream politician to have been arrested by the NIA in the case.",2019
"An exchange of fire took place between Special Operation Group (SOG) personnel and Communist Party of India-Maoist (CPI-Maoist) cadres in Kalahandi District of Odisha on August 14, reports Odisha Sun Times. Superintendent of Police (SP), Battula Gangadhar said, the gun battle ensued at the Gundi Reserve Forest under Sadar Police limits in the District, in which several Maoists have sustained injuries. Gelatin sticks, detonators and bombs have been seized from the spot. However, there was no reports of any casualties among the Security Forces (SFs).",2019
"Army troops recovered huge quantity of ammunition during a search operation on August 14 from Thanagong in Noney District of Manipur, reports Nagaland Post. Recovery include The recoveries included two assault rifles of AK-47 and AK-56 series with 250 live rounds, one HK-33 Assault Rifle, one Lathode grenade launcher with 20 live grenades and other assorted ammunition of different calibres.",2019
